,counts,matches
0,3,341
1,0,76
2,1,436
3,1,357
4,2,458
5,3,237
6,2,297
7,2,317
8,5,443
9,1,508
10,3,256
11,2,509
12,1,452
13,3,644
14,6,297
15,3,232
16,0,253
17,6,227
18,3,392
19,16,379
20,3,359
21,2,242
22,2,390
23,2,325
24,10,492
25,1,285
26,1,385
27,2,331
28,3,348
29,1,327
30,7,296
31,6,355
32,3,461
33,4,306
34,6,276
35,4,375
36,3,119
37,5,219
38,6,277
39,3,319
40,6,237
41,13,335
42,5,254
43,5,271
44,6,300
45,1,394
46,7,230
47,0,300
48,3,310
49,12,475
50,3,254
51,1,278
52,2,368
53,2,270
54,9,339
55,4,237
56,6,380
57,2,209
58,3,314
59,6,506
60,2,249
61,4,359
62,4,295
63,3,322
64,3,276
65,5,346
66,0,492
67,1,318
68,2,359
69,2,314
70,6,194
71,2,231
72,2,253
73,3,110
74,4,281
75,2,210
76,1,294
77,2,467
78,3,307
79,3,168
80,6,285
81,7,421
82,2,450
83,3,320
84,2,336
85,6,248
86,0,321
87,2,354
88,3,407
89,4,312
90,0,395
91,11,576
92,0,427
93,3,311
94,5,488
95,2,205
96,9,416
97,18,341
98,7,348
99,0,170
