,counts,matches
0,85,494
1,14,237
2,34,579
3,31,372
4,18,413
5,83,736
6,28,481
7,34,358
8,21,573
9,39,665
10,28,231
11,40,597
12,69,723
13,93,958
14,11,245
15,22,450
16,37,431
17,34,366
18,70,671
19,30,459
20,27,535
21,34,469
22,21,350
23,63,751
24,87,580
25,65,576
26,73,561
27,44,472
28,46,588
29,24,565
30,32,605
31,20,518
32,46,436
33,29,461
34,23,403
35,37,476
36,13,270
37,23,329
38,23,359
39,16,379
40,14,440
41,26,509
42,8,282
43,5,96
44,36,417
45,52,509
46,30,520
47,20,527
48,42,499
49,13,309
50,20,487
51,31,465
52,31,501
53,16,350
54,7,244
55,16,274
56,30,497
57,11,235
58,40,580
59,55,588
60,25,417
61,25,373
62,11,355
63,49,486
64,231,582
65,80,512
66,43,561
67,80,650
68,32,478
69,21,373
70,31,307
71,22,447
72,27,425
73,9,174
74,31,515
75,16,422
76,21,372
77,19,602
78,52,567
79,38,363
80,38,456
81,28,381
82,15,453
83,34,427
84,37,467
85,19,367
86,30,449
87,19,418
88,42,490
89,37,530
90,51,541
91,55,501
92,52,620
93,39,227
94,63,389
95,29,467
96,70,461
97,59,450
98,56,383
99,24,508
